Unnamed: 0,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
681,TECHNIQUE,PRIX
682,TECHNIQUE,PRIX
684,TECHNIQUE,PRIX
691,PRIX,TECHNIQUE
692,PRIX,TECHNIQUE
693,QUALITE,TECHNIQUE
699,PRIX,TECHNIQUE
700,PRIX,TECHNIQUE
701,TECHNIQUE,PRIX
705,PRIX,TECHNIQUE
706,PRIX,TECHNIQUE
707,PRIX,TECHNIQUE
708,PRIX,TECHNIQUE
713,PRIX,TECHNIQUE
714,PRIX,QUALITE
730,QUALITE,PRIX
731,PRIX,TECHNIQUE
734,PRIX,QUALITE
740,PRIX,TECHNIQUE
751,PRIX,TECHNIQUE
753,TECHNIQUE,PRIX
757,TECHNIQUE,PRIX
758,PRIX,TECHNIQUE
759,PRIX,TECHNIQUE
760,PRIX,TECHNIQUE
764,TECHNIQUE,QUALITE
765,PRIX,TECHNIQUE
766,PRIX,TECHNIQUE
768,PRIX,AUTRE
777,PRIX,TECHNIQUE
778,PRIX,TECHNIQUE
779,TECHNIQUE,PRIX
780,PRIX,TECHNIQUE
788,PRIX,TECHNIQUE
789,TECHNIQUE,PRIX
792,PRIX,QUALITE
794,PRIX,TECHNIQUE
795,PRIX,TECHNIQUE
802,PRIX,TECHNIQUE
804,PRIX,TECHNIQUE
805,PRIX,TECHNIQUE
813,TECHNIQUE,PRIX
815,TECHNIQUE,PRIX
818,TECHNIQUE,PRIX
820,PRIX,AUTRE
824,QUALITE,PRIX
826,PRIX,TECHNIQUE
828,TECHNIQUE,PRIX
830,QUALITE,PRIX
831,QUALITE,TECHNIQUE
832,TECHNIQUE,PRIX
833,TECHNIQUE,TECHNIQUE
837,PRIX,TECHNIQUE
838,PRIX,QUALITE
851,TECHNIQUE,PRIX
853,PRIX,TECHNIQUE
854,PRIX,TECHNIQUE
855,TECHNIQUE,QUALITE
860,PRIX,TECHNIQUE
864,TECHNIQUE,PRIX
866,PRIX,TECHNIQUE
877,PRIX,TECHNIQUE
880,PRIX,TECHNIQUE
882,PRIX,TECHNIQUE
887,TECHNIQUE,PRIX
892,TECHNIQUE,PRIX
893,TECHNIQUE,PRIX
896,TECHNIQUE,QUALITE
898,PRIX,TECHNIQUE
911,TECHNIQUE,PRIX
912,PRIX,QUALITE
919,PRIX,TECHNIQUE
927,PRIX,TECHNIQUE
933,AUTRE,QUALITE
950,PRIX,TECHNIQUE
951,PRIX,TECHNIQUE
979,TECHNIQUE,PRIX
980,TECHNIQUE,AUTRE
982,PRIX,TECHNIQUE
989,TECHNIQUE,PRIX
998,TECHNIQUE,PRIX
1000,PRIX,TECHNIQUE
1009,PRIX,TECHNIQUE
1018,PRIX,AUTRE
1024,TECHNIQUE,PRIX
1041,PRIX,TECHNIQUE
1046,TECHNIQUE,PRIX
1049,TECHNIQUE,PRIX
1059,TECHNIQUE,PRIX
1064,TECHNIQUE,PRIX
1068,PRIX,TECHNIQUE
1070,TECHNIQUE,AUTRE
1075,TECHNIQUE,PRIX
1085,PRIX,QUALITE
1108,PRIX,TECHNIQUE
1111,TECHNIQUE,PRIX
1112,PRIX,TECHNIQUE
1123,TECHNIQUE,PRIX
1154,TECHNIQUE,PRIX
1166,PRIX,TECHNIQUE
1175,PRIX,TECHNIQUE
1178,TECHNIQUE,PRIX
1185,PRIX,AUTRE
1188,PRIX,QUALITE
1191,TECHNIQUE,QUALITE
1209,TECHNIQUE,PRIX
1211,PRIX,QUALITE
1219,TECHNIQUE,PRIX
1221,PRIX,QUALITE
1225,TECHNIQUE,PRIX
1238,TECHNIQUE,PRIX
1240,QUALITE,PRIX
1248,QUALITE,PRIX
1294,TECHNIQUE,PRIX
1299,PRIX,TECHNIQUE
1318,AUTRE,AUTRE
1322,PRIX,TECHNIQUE
1323,PRIX,TECHNIQUE
1324,PRIX,TECHNIQUE
1325,PRIX,TECHNIQUE
1328,PRIX,TECHNIQUE
1333,PRIX,TECHNIQUE
1341,TECHNIQUE,PRIX
1343,PRIX,AUTRE
1344,PRIX,TECHNIQUE
1345,QUALITE,QUALITE
1347,PRIX,TECHNIQUE
1349,TECHNIQUE,QUALITE
1353,PRIX,TECHNIQUE
1354,PRIX,TECHNIQUE
1356,QUALITE,QUALITE
1358,TECHNIQUE,PRIX
1369,TECHNIQUE,PRIX
1370,TECHNIQUE,PRIX
1371,PRIX,TECHNIQUE
1372,PRIX,AUTRE
1373,PRIX,TECHNIQUE
1381,PRIX,TECHNIQUE
1382,TECHNIQUE,PRIX
1383,QUALITE,PRIX
1385,TECHNIQUE,PRIX
1386,TECHNIQUE,PRIX
1387,PRIX,TECHNIQUE
1390,TECHNIQUE,PRIX
1391,TECHNIQUE,PRIX
1394,PRIX,TECHNIQUE
1399,TECHNIQUE,PRIX
1407,PRIX,TECHNIQUE
1412,TECHNIQUE,PRIX
1416,PRIX,TECHNIQUE
1425,PRIX,TECHNIQUE
1428,AUTRE,AUTRE
1429,PRIX,TECHNIQUE
1430,PRIX,TECHNIQUE
1433,PRIX,TECHNIQUE
1434,PRIX,TECHNIQUE
1437,PRIX,TECHNIQUE
1438,TECHNIQUE,PRIX
1439,PRIX,AUTRE
1441,PRIX,TECHNIQUE
1445,PRIX,AUTRE
1449,QUALITE,QUALITE
1450,PRIX,TECHNIQUE
1451,QUALITE,PRIX
1452,TECHNIQUE,PRIX
1458,TECHNIQUE,PRIX
1459,PRIX,TECHNIQUE
1461,PRIX,TECHNIQUE
1464,PRIX,TECHNIQUE
1466,PRIX,AUTRE
1469,PRIX,TECHNIQUE
1470,PRIX,TECHNIQUE
1479,QUALITE,PRIX
1482,TECHNIQUE,PRIX
1485,TECHNIQUE,PRIX
1486,PRIX,TECHNIQUE
1490,TECHNIQUE,PRIX
1503,PRIX,TECHNIQUE
1505,PRIX,TECHNIQUE
1525,PRIX,QUALITE
1527,TECHNIQUE,PRIX
1533,TECHNIQUE,PRIX
1535,PRIX,TECHNIQUE
1536,PRIX,TECHNIQUE
1545,PRIX,TECHNIQUE
1546,PRIX,TECHNIQUE
1549,PRIX,TECHNIQUE
1556,PRIX,TECHNIQUE
1560,TECHNIQUE,PRIX
1563,PRIX,TECHNIQUE
1568,PRIX,TECHNIQUE
1569,PRIX,TECHNIQUE
1577,PRIX,TECHNIQUE
1578,PRIX,TECHNIQUE
1582,PRIX,TECHNIQUE
1586,PRIX,AUTRE
1596,TECHNIQUE,PRIX
1597,PRIX,TECHNIQUE
